territorial,fecha_registro,pr,distancia_pr,fecha_acc,dia_semana_acc,min_acc,condic_meteor,estado_super,terreno,secc_tip,geometria_acc,tipo_cierre,horas_cierre,min_cierre,n_heridos,n_muertos,n_victimas,clase_accidente,causa_posible,ref_loc,hora_acc,duracion_cierre_horas
Planta Central,2020-08-15 16:49:00,5,275.0,2020-03-18 05:00:00,miercoles,0,Normal,Seca y limpia,Ondulado,Terraplen,Curva Izquierda,Transito normal con precaución,8,0,0,0,0.0,Choque,condiciones de la via y factores ambientales,2511_0_5,7.0,1.0
Planta Central,2020-08-15 16:57:00,26,130.0,2020-03-20 05:00:00,viernes,0,Lluvia,Humeda,Ondulado,Media ladera Izquierda,Curva Derecha,Transito normal con precaución,12,50,0,0,0.0,Choque,condiciones de la via y factores ambientales,2511_0_26,12.0,0.0
Planta Central,2020-08-15 17:01:00,33,50.0,2020-03-14 05:00:00,sabado,30,Normal,Seca y limpia,Montañoso,Media ladera Izquierda,Recta,Parcial con reducción de carriles,10,0,0,1,1.0,Choque,fallas mecanicas y del sistema electrico,2511_0_33,9.0,1.0
Planta Central,2020-08-15 17:20:00,41,800.0,2020-03-29 05:00:00,domingo,30,Normal,Seca y limpia,Plano,Media ladera Izquierda,Curva Derecha,Parcial con reducción de carriles,12,50,0,1,1.0,Choque,adelantamientos indebidos,2511_0_41,12.0,0.0
Planta Central,2020-08-15 17:28:00,48,100.0,2020-03-15 05:00:00,domingo,40,Normal,Seca y limpia,Ondulado,Media ladera Izquierda,Recta,Transito normal con precaución,7,0,0,0,0.0,Choque,estacionamiento y senalizacion imprudente,2511_0_48,6.0,1.0
Planta Central,2020-08-15 17:37:00,54,0.0,2020-03-11 05:00:00,miercoles,0,Niebla,Humeda,Ondulado,Media ladera Izquierda,Recta,Transito normal con precaución,12,30,0,0,0.0,Choque,fallas mecanicas y del sistema electrico,2511_0_54,12.0,0.0
Planta Central,2020-08-15 17:48:00,64,860.0,2020-03-08 05:00:00,domingo,20,Niebla,Humeda,Ondulado,Media ladera Izquierda,Recta,Parcial con reducción de carriles,9,28,0,1,2.0,Choque,fallas mecanicas y del sistema electrico,2511_0_64,8.0,1.0
Planta Central,2020-08-15 17:55:00,65,780.0,2020-03-11 05:00:00,miercoles,40,Niebla,Humeda,Ondulado,Media ladera Izquierda,Recta,Parcial con reducción de carriles,10,30,1,0,1.0,Choque,exceso de velocidad,2511_0_65,9.0,1.0
Planta Central,2020-08-15 17:59:00,67,0.0,2020-03-05 05:00:00,jueves,5,Normal,Seca y limpia,Montañoso,Media ladera Izquierda,Curva Derecha,Transito normal con precaución,11,40,0,0,0.0,Choque,condiciones de la via y factores ambientales,2511_0_67,11.0,0.0
Planta Central,2020-08-15 18:44:00,88,100.0,2020-03-05 05:00:00,jueves,0,Normal,Seca y limpia,Plano,Media ladera Izquierda,Recta,Transito normal con precaución,13,30,0,0,0.0,Choque,fallas mecanicas y del sistema electrico,2511_0_88,12.0,1.0
Planta Central,2020-08-15 18:52:00,28,750.0,2020-03-04 05:00:00,miercoles,30,Normal,Seca y limpia,Plano,Terraplen,Recta,Parcial con reducción de carriles,11,0,1,0,1.0,Choque,impericia en el manejo,2512_1_28,10.0,1.0
Planta Central,2020-08-14 20:31:00,43,540.0,2020-04-06 05:00:00,lunes,10,Normal,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,17,42,0,0,0.0,Volcamiento,adelantamientos indebidos,2512_1_43,17.0,0.0
Risaralda,2020-08-19 16:53:00,68,680.0,2020-07-08 05:00:00,miercoles,30,Lluvia,Humeda,Plano,Media Ladera Derecha,Recta,Transito normal con precaución,16,30,0,0,0.0,Choque,otra - conductor en general,5002_1_68,16.0,0.0
Sucre,2020-08-20 16:49:00,30,200.0,2020-03-01 05:00:00,domingo,50,Seca,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,1,0,2,0,2.0,Choque,adelantamientos indebidos,9004_1_30,19.0,6.0
Putumayo,2020-08-19 18:47:00,73,400.0,2020-06-16 05:00:00,martes,51,Normal,Seca y limpia,Ondulado,Cajón,Curva Izquierda,Transito normal con precaución,0,0,0,0,0.0,Salida de la vía sin volcarse,otra - conductor en general,4502_0_73,14.0,10.0
Planta Central,2020-08-19 20:12:00,41,100.0,2020-05-07 05:00:00,jueves,30,Lluvia,Humeda,Plano,Terraplen,Recta,Transito normal con precaución,8,10,0,0,0.0,Choque,condiciones de la via y factores ambientales,2512_1_41,7.0,1.0
Planta Central,2020-08-19 20:36:00,64,680.0,2020-03-08 05:00:00,domingo,20,Niebla,Seca y limpia,Ondulado,Media ladera Izquierda,Recta,Parcial con reducción de carriles,9,28,1,1,2.0,Choque,condiciones de la via y factores ambientales,2511_0_64,8.0,1.0
Planta Central,2020-08-19 20:47:00,53,100.0,2020-03-13 05:00:00,viernes,10,Normal,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,5,30,0,0,0.0,Choque,fallas mecanicas y del sistema electrico,2511_0_53,4.0,1.0
Planta Central,2020-08-19 20:51:00,56,950.0,2020-03-09 05:00:00,lunes,50,Normal,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,2,40,0,0,0.0,Choque,condiciones de la via y factores ambientales,2512_1_56,0.0,2.0
Sucre,2020-08-20 13:59:00,38,900.0,2020-01-07 05:00:00,martes,4,Seca,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,0,30,0,0,0.0,Choque,desobediencia a normas y senales,9004_1_38,17.0,7.0
Sucre,2020-08-20 14:10:00,35,100.0,2020-01-16 05:00:00,jueves,0,Seca,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,1,0,2,0,2.0,Choque,impericia en el manejo,9004_1_35,21.0,4.0
Sucre,2020-08-20 14:20:00,39,0.0,2020-01-19 05:00:00,domingo,0,Sol,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,0,30,2,0,2.0,Choque,embriaguez o sustancias alucinogenas,9004_1_39,10.0,14.0
Sucre,2020-08-20 14:34:00,87,400.0,2020-01-28 05:00:00,martes,0,Sol,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,1,0,0,0,0.0,Choque,otra - conductor en general,9004_1_87,8.0,17.0
Sucre,2020-08-20 14:38:00,83,50.0,2020-01-31 05:00:00,viernes,30,Sol,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,1,0,0,0,0.0,Choque,otra - conductor en general,9004_1_83,10.0,15.0
